date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:10:44	36664/36664	---MCZ	200	added ('OK')	text/html	etag:%225c107ab525360c8a4f76a2f9971cc605-ssl-df%22	https://irvingtoncti.org/projects.html	C:/Users/adity/WebstormProjects/citmsjhs/irvingtoncti.org/projects.html	(from https://irvingtoncti.org/)
12:10:45	23776/23776	---MCZ	200	added ('OK')	text/html	etag:%22625714fb8dd69deb9758adc13cc8450a-ssl-df%22	https://irvingtoncti.org/about.html	C:/Users/adity/WebstormProjects/citmsjhs/irvingtoncti.org/about.html	(from https://irvingtoncti.org/)
12:10:45	17705/17705	---MCZ	200	added ('OK')	text/html	etag:%2296ebf86d084b4b3f4addb990448406c2-ssl-df%22	https://irvingtoncti.org/volunteer.html	C:/Users/adity/WebstormProjects/citmsjhs/irvingtoncti.org/volunteer.html	(from https://irvingtoncti.org/)
12:10:45	18856/18856	---MCZ	200	added ('OK')	text/html	etag:%22a38c345116b7b0f7198192e819213fb2-ssl-df%22	https://irvingtoncti.org/events1.html	C:/Users/adity/WebstormProjects/citmsjhs/irvingtoncti.org/events1.html	(from https://irvingtoncti.org/)
12:10:46	5139/5139	---M-Z	200	added ('OK')	image/svg+xml	etag:%22e427a675a997c4173e48b935e3ac432c-ssl-df%22	https://irvingtoncti.org/assets/img/icon/icon1.svg	C:/Users/adity/WebstormProjects/citmsjhs/irvingtoncti.org/assets/img/icon/icon1.svg	(from https://irvingtoncti.org/)
12:10:46	2876/2876	---M-Z	200	added ('OK')	image/svg+xml	etag:%229eaa827d534974206d192b901e0366f7-ssl-df%22	https://irvingtoncti.org/assets/img/icon/icon2.svg	C:/Users/adity/WebstormProjects/citmsjhs/irvingtoncti.org/assets/img/icon/icon2.svg	(from https://irvingtoncti.org/)
12:10:47	2691/2691	---M-Z	200	added ('OK')	image/svg+xml	etag:%22966099b51aac23653ed545ace74df70e-ssl-df%22	https://irvingtoncti.org/assets/img/icon/icon3.svg	C:/Users/adity/WebstormProjects/citmsjhs/irvingtoncti.org/assets/img/icon/icon3.svg	(from https://irvingtoncti.org/)
12:10:47	12535/12535	---M--	200	added ('OK')	image/jpeg	etag:%22cd517109238c79d43f87d2572be4edb5-ssl%22	https://irvingtoncti.org/assets/img/gallery/intro_python.jpg	C:/Users/adity/WebstormProjects/citmsjhs/irvingtoncti.org/assets/img/gallery/intro_python.jpg	(from https://irvingtoncti.org/)
12:10:47	15753/15753	---M--	200	added ('OK')	image/jpeg	etag:%220f44d933f5bd617d9a026201f5b664fc-ssl%22	https://irvingtoncti.org/assets/img/gallery/adv_python.jpg	C:/Users/adity/WebstormProjects/citmsjhs/irvingtoncti.org/assets/img/gallery/adv_python.jpg	(from https://irvingtoncti.org/)
12:10:48	28988/28988	---M--	200	added ('OK')	image/png	etag:%228f7f4c8f977d3333359cae8594f85483-ssl%22	https://irvingtoncti.org/assets/img/gallery/c_logo.png	C:/Users/adity/WebstormProjects/citmsjhs/irvingtoncti.org/assets/img/gallery/c_logo.png	(from https://irvingtoncti.org/)
12:10:48	14951/14951	---M--	200	added ('OK')	image/png	etag:%22fc1d676d0f15c3ef774f91d0e3bb11b3-ssl%22	https://irvingtoncti.org/assets/img/gallery/java_logo.png	C:/Users/adity/WebstormProjects/citmsjhs/irvingtoncti.org/assets/img/gallery/java_logo.png	(from https://irvingtoncti.org/)
12:10:48	30691/30691	---M--	200	added ('OK')	image/png	etag:%2247d995fbffba4405a97d36ff602c7c52-ssl%22	https://irvingtoncti.org/assets/img/gallery/scratch_logo.png	C:/Users/adity/WebstormProjects/citmsjhs/irvingtoncti.org/assets/img/gallery/scratch_logo.png	(from https://irvingtoncti.org/)
